Id,Label,indegree,outdegree,Degree,modularity_class
VidorLu,,0,75,75,0
fonncllau10,,19,0,19,0
giordano_girl,,11,0,11,0
gonagipe,,4,0,4,0
jamlima77,,6,0,6,0
jeje_cricri,,6,0,6,0
kelvin_a10,,19,0,19,0
lazarorosa25,,159,0,159,0
lolaescreva,,37,0,37,0
lucivaniasousa,,14,0,14,0
netto41,,5,0,5,0
oicram2016,,17,0,17,0
profalexmarcelo,,5,0,5,0
queenvermelha13,,28,0,28,0
relidafernanda,,14,0,14,0
tuittage,,3,0,3,0
velhodoriorj,,6,0,6,0
zurenemanique,,26,3,29,0
nandatorres21,,3,0,3,0
euailze,,95,0,95,0
eliiwelton,,6,0,6,0
elianeespindo14,,4,0,4,0
edsozx,,7,0,7,0
AngelJones_13,,19,0,19,0
CamilaPazCosta1,,7,0,7,0
CarlosS48442375,,42,0,42,0
SamuraiChines,,7,0,7,0
Solphis_chan,,12,0,12,0
TelesCombate,,5,0,5,0
TiciaEvans,,15,0,15,0
VanessaCruzs2,,5,0,5,0
ZeliVanderlei,,3,3,6,0
ZellFlorizel,,6,0,6,0
adamoantonioni,,19,0,19,0
Rosaniba,,7,0,7,0
ajleal,,2,0,2,0
canalcoerencia,,7,0,7,0
cassiooliveir_,,25,0,25,0
cervejadgarrafa,,105,0,105,0
cesarcalejon1,,107,0,107,0
claudiofalatudo,,74,0,74,0
consallys,,96,0,96,0
daniduncan,,64,0,64,0
didizinhailha,,10,0,10,0
buarqueana13,,114,0,114,0
RonnyCombate,,39,0,39,0
RicardaBatista,,6,0,6,0
CarlucciMurilo,,2,0,2,0
CrisSilvaSJC,,31,0,31,0
Cro_thom,,10,0,10,0
DREEZ_171,,98,0,98,0
Dan_SK,,9,8,17,0
DielNascimento4,,37,0,37,0
EdsonFilho74,,67,0,67,0
ElzaAugusta,,15,0,15,0
Robi73589635,,13,0,13,0
JRBRONKO,,16,0,16,0
LucianaMSSanch1,,9,0,9,0
LulaSilvaLivre,,7,0,7,0
MDu2022,,8,2,10,0
M_Cristian18,,23,0,23,0
MarcelaSaraivas,,92,0,92,0
Naradmoraes,,5,0,5,0
Neg_POETA,,3,0,3,0
OsBrizolistas,,6,0,6,0
JosDonizettiVi3,,9,5,14,0
rsafllics,,5,0,5,0
sorayabborges,,18,1,19,0
CornetaCritica,,29,0,29,0
danielmarks17,,16,1,17,0
winsletpaulson,,16,1,17,0
OBrizolulista,,31,0,31,0
MarcianoBrito13,,44,2,46,0
marcosaraujjoo,,95,0,95,0
_Janoninho,,237,3,240,0
joaodomenech,,116,8,124,0
MariaSouzza1315,,0,11,11,0
MarcoAn52862258,,0,4,4,0
ORIGOM_14,,0,14,14,0
Miriamlopesrod1,,0,6,6,0
Kaliljacob1,,0,4,4,0
JosSantanadaS13,,0,3,3,0
Lidcar3,,0,12,12,0
Regina13Ara,,0,20,20,0
RobertDCRocha,,0,13,13,0
RoMoraess2,,0,7,7,0
Patricia_Paes10,,0,32,32,0
CeticoLover,,0,9,9,0
Claudia94622157,,0,4,4,0
AishaJanne,,0,6,6,0
4rrud4,,0,5,5,0
ANTONIOCAJNIOR1,,0,12,12,0
Andreaasiss0303,,0,5,5,0
AnaXataOficial,,0,11,11,0
AlineGigena,,0,5,5,0
AnaBonini14,,0,3,3,0
Francis84008209,,0,5,5,0
EurivaldoLima10,,0,3,3,0
IamDudiKk,,0,5,5,0
Francisdemocrac,,0,4,4,0
Daniela22338341,,0,5,5,0
Dane_Coelho,,0,10,10,0
ElianeAugusta,,0,9,9,0
lembrandoVoce,,0,9,9,0
lohanasantos90,,0,5,5,0
kerssia10,,0,6,6,0
katiymaia,,0,6,6,0
marhean40,,0,5,5,0
mae_tarjapreta,,0,5,5,0
fabiolabarcela,,0,19,19,0
flavio_bem,,0,10,10,0
hiago9911,,0,5,5,0
imflopadaa,,0,5,5,0
itmekamila,,0,13,13,0
ruth_chagas_51,,0,6,6,0
vlds_jr,,0,5,5,0
maubitencourt,,0,7,7,0
poesierichel,,0,7,7,0
ninicarvalho,,0,2,2,0
ZeliaMaran,,0,13,13,0
_FlavisCarvalho,,0,8,8,0
adsrocha6,,0,4,4,0
alessandro_kd,,0,13,13,0
Soraya41633025,,0,7,7,0
TEATRO1994,,0,6,6,0
SirleiFlesch,,0,8,8,0
TniaBarrozo,,0,5,5,0
anpgo,,0,5,5,0
danilohugou,,0,6,6,0
daiamorfim,,0,6,6,0
cmbortowski,,0,4,4,0
dudinhazinhaq,,0,7,7,0
carlosrafer,,0,4,4,0
bethebaroni,,0,4,4,0
bonequi91,,0,5,5,0
aquino1976,,0,6,6,0
madelcostas,,0,7,7,0
soraya_naccache,,0,11,11,0
LucliaS35081712,,0,12,12,0
InesveronicaDe2,,0,4,4,0
badvibeslg,,0,9,9,0
ItalobomVictor,,0,6,6,0
_kleber_silva,,0,16,16,0
Astuto31111581,,0,4,4,0
GLAUCIBARROS15,,0,4,4,0
Catarina_47,,0,3,3,0
ROBERTA57596546,,0,17,17,0
Mauro46431491,,0,15,15,0
primasilenciosa,,0,7,7,0
RegBRAJP,,0,24,24,0
AndreiaPatroci2,,0,30,30,0
catarinabioband,,0,15,15,0
sa_carlos,,0,13,13,0
Fabiana29202402,,0,7,7,0
GirassolBrecho,,0,13,13,0
mrslazzie,,0,8,8,0
ootremcaioxx,,0,14,14,0
profvalentimbr,,0,2,2,0
Pitchucky,,0,31,31,0
amerciapps,,0,32,32,0
zelatorre,,0,7,7,0
Aninha56465630,,0,9,9,0
mariahconrado,,0,3,3,0
acquabubbles,,0,18,18,0
eng_kelly,,0,14,14,0
Tatiana73985584,,0,20,20,0
pacato13760420,,0,20,20,0
MarcoAntnioDu1,,0,14,14,0
AstralSandro,,0,7,7,0
Almir_del,,0,20,20,0
Feliped82375579,,0,4,4,0
svennanciogmai1,,0,2,2,0
edvaldo_fonseca,,0,20,20,0
rooseveltribam3,,0,4,4,0
AndrRgo1,,0,37,37,0
bysincerona,,0,35,35,0
IsoldaCerqueira,,0,5,5,0
rosielepamela1,,0,39,39,0
luisalv010474,,0,23,23,0
AgapitoVilson,,0,20,20,0
conciliele,,0,38,38,0
elizsoares,,0,29,29,0
homo10sapiens,,0,29,29,0
Repente40,,0,45,45,0
vaz_eunice,,0,20,20,0
